episode,timestep,return,length,epsilon,loss,mean_q,success,avg_return_100,buffer_size
0,199,-200.0,200,0.9986933333333328,0,0,0
1,399,-200.0,200,0.9973866666666655,0,0,0
2,599,-200.0,200,0.9960799999999983,0,0,0
3,799,-200.0,200,0.9947733333333311,0,0,0
4,999,-200.0,200,0.9934666666666638,0,0,0
5,1199,-200.0,200,0.9921599999999966,0,0,0
6,1399,-200.0,200,0.9908533333333294,0,0,0
7,1599,-200.0,200,0.9895466666666621,0,0,0
8,1799,-200.0,200,0.9882399999999949,0,0,0
9,1999,-200.0,200,0.9869333333333277,0,0,0
10,2199,-200.0,200,0.9856266666666604,0,0,0
11,2399,-200.0,200,0.9843199999999932,0,0,0
12,2599,-200.0,200,0.983013333333326,0,0,0
13,2799,-200.0,200,0.9817066666666587,0,0,0
14,2999,-200.0,200,0.9803999999999915,0,0,0
