episode,timestep,return,length,epsilon,loss,mean_q,success
0,199,-200.0,200,0.9962000000000018,0,0,0
1,399,-200.0,200,0.9924000000000035,0,0,0
2,599,-200.0,200,0.9886000000000053,0,0,0
3,799,-200.0,200,0.984800000000007,0,0,0
4,999,-200.0,200,0.9810000000000088,0,0,0
5,1199,-200.0,200,0.9772000000000105,0.0034406802151352167,-0.4989658296108246,0
6,1399,-200.0,200,0.9734000000000123,0.003637055167928338,-0.4888290464878082,0
7,1599,-200.0,200,0.969600000000014,0.00015658636402804404,-0.5096046924591064,0
8,1799,-200.0,200,0.9658000000000158,0.00034997586044482887,-0.5155388116836548,0
9,1999,-200.0,200,0.9620000000000175,0.00019033164426218718,-0.49322617053985596,0
10,2199,-200.0,200,0.9582000000000193,0.000462504627648741,-1.4845491647720337,0
11,2399,-200.0,200,0.954400000000021,0.007778983097523451,-1.4856125116348267,0
12,2599,-200.0,200,0.9506000000000228,3.853543967125006e-05,-1.4829585552215576,0
13,2799,-200.0,200,0.9468000000000245,0.0001466505927965045,-1.4778063297271729,0
14,2999,-200.0,200,0.9430000000000263,5.498995597008616e-05,-1.493272066116333,0
15,3199,-200.0,200,0.939200000000028,0.00017681618919596076,-2.4714255332946777,0
16,3399,-200.0,200,0.9354000000000298,0.00014744361396878958,-2.4749605655670166,0
17,3599,-200.0,200,0.9316000000000315,0.06341225653886795,-2.4648094177246094,0
18,3799,-200.0,200,0.9278000000000333,0.05864398181438446,-2.4581944942474365,0
19,3999,-200.0,200,0.924000000000035,0.032216642051935196,-2.474278211593628,0
20,4199,-200.0,200,0.9202000000000368,0.08647850155830383,-3.364417552947998,0
21,4399,-200.0,200,0.9164000000000385,0.0003678844659589231,-3.416287660598755,0
22,4599,-200.0,200,0.9126000000000403,0.0003736675134859979,-3.415663003921509,0
23,4799,-200.0,200,0.908800000000042,0.001011682441458106,-3.420175075531006,0
24,4999,-200.0,200,0.9050000000000438,0.0036643799394369125,-3.3617334365844727,0
