episode,timestep,return,length,epsilon,loss,mean_q
63,47533,-165.0,165,0.09685400000039554,0.0021920620929449797,-34.716957092285156
64,47741,-208.0,208,0.09290200000039447,0.0198849868029356,-33.428131103515625
65,47971,-230.0,230,0.0885320000003933,0.02404736913740635,-34.4572639465332
66,48223,-252.0,252,0.083744000000392,0.013219505548477173,-35.53155517578125
67,48397,-174.0,174,0.08043800000039111,0.077385313808918,-34.789825439453125
68,48719,-322.0,322,0.07432000000038946,0.025459712371230125,-35.055870056152344
69,48868,-149.0,149,0.0714890000003887,0.016005292534828186,-35.0009651184082
70,49012,-144.0,144,0.06875300000038796,0.10069575160741806,-36.395347595214844
71,49248,-236.0,236,0.06426900000038675,0.06256253272294998,-35.42133331298828
72,49524,-276.0,276,0.05902500000038661,0.012718761339783669,-36.0247802734375
73,49702,-178.0,178,0.05564300000038693,0.002965108258649707,-36.015403747558594
74,49858,-156.0,156,0.052679000000387215,0.07878631353378296,-35.61235046386719
75,50086,-228.0,228,0.05,0,0
76,51236,-1150.0,1150,0.05,20.133249282836914,-35.047855377197266
77,51497,-261.0,261,0.05,0.03042142651975155,-35.14952087402344
78,51688,-191.0,191,0.05,0.015084967017173767,-36.482093811035156
79,51865,-177.0,177,0.05,0.004502288531512022,-36.423545837402344
80,52081,-216.0,216,0.05,0.05336308479309082,-36.045475006103516
81,52256,-175.0,175,0.05,0.007611454464495182,-34.99129867553711
82,52489,-233.0,233,0.05,0.004483544267714024,-36.66889953613281
83,52655,-166.0,166,0.05,0.031025297939777374,-35.945228576660156
84,52808,-153.0,153,0.05,0.008034897968173027,-34.81796646118164
85,52983,-175.0,175,0.05,0.17106235027313232,-35.32048416137695
86,53206,-223.0,223,0.05,0.005591640714555979,-36.53219985961914
87,53335,-129.0,129,0.05,0.032897159457206726,-36.81988525390625
88,53619,-284.0,284,0.05,0.0030484870076179504,-36.9586067199707
89,53749,-130.0,130,0.05,0.004538967274129391,-36.41368103027344
90,53963,-214.0,214,0.05,0.014189094305038452,-36.2126579284668
91,54190,-227.0,227,0.05,0.015575660392642021,-37.466461181640625
92,54333,-143.0,143,0.05,0.008616993203759193,-37.66143798828125
93,54459,-126.0,126,0.05,0.042700547724962234,-37.16204833984375
