episode,timestep,return,length,epsilon,loss,mean_q,success
0,1999,-2000.0,2000,0.9620000000000175,6.418017437681556e-05,-0.19470319151878357,0
1,3999,-2000.0,2000,0.924000000000035,2.7504889658303e-05,-2.1601412296295166,0
2,5999,-2000.0,2000,0.8860000000000525,0.00015255609469022602,-4.112220764160156,0
3,7999,-2000.0,2000,0.84800000000007,0.0011640854645520449,-6.030623435974121,0
4,9999,-2000.0,2000,0.8100000000000875,0.001955997198820114,-7.711434364318848,0
5,11999,-2000.0,2000,0.772000000000105,0.00011434034968260676,-9.455255508422852,0
6,13999,-2000.0,2000,0.7340000000001226,0.00020796213357243687,-11.201398849487305,0
7,15999,-2000.0,2000,0.6960000000001401,0.0025664984714239836,-12.89947509765625,0
8,17999,-2000.0,2000,0.6580000000001576,0.014233259484171867,-14.784259796142578,0
9,19999,-2000.0,2000,0.6200000000001751,0.019041121006011963,-16.27648162841797,0
10,21999,-2000.0,2000,0.5820000000001926,0.0003311374457553029,-17.851757049560547,0
11,23999,-2000.0,2000,0.5440000000002101,0.00321649806573987,-19.485713958740234,0
12,25999,-2000.0,2000,0.5060000000002276,0.046854376792907715,-21.001455307006836,0
13,27999,-2000.0,2000,0.4680000000002451,0.02113821730017662,-22.65273094177246,0
14,29731,-1732.0,1732,0.43509200000026027,0.01838359609246254,-23.90094757080078,1
15,31731,-2000.0,2000,0.3970920000002778,8.74556827545166,-25.258317947387695,0
16,33731,-2000.0,2000,0.3590920000002953,0.0031450591050088406,-26.817832946777344,0
17,35731,-2000.0,2000,0.3210920000003128,0.004539167508482933,-28.08472442626953,0
18,37731,-2000.0,2000,0.2830920000003303,0.0015739372465759516,-29.47772789001465,0
19,39730,-1999.0,1999,0.2451110000003478,0.00679902546107769,-30.86197280883789,1
20,41730,-2000.0,2000,0.2071110000003653,0.04377231001853943,-31.919811248779297,0
21,42337,-607.0,607,0.19557800000037062,0.021923646330833435,-32.61579895019531,1
22,44304,-1967.0,1967,0.15820500000038784,0.0009371876949444413,-33.764427185058594,1
23,46304,-2000.0,2000,0.12020500000040184,0.033188242465257645,-34.61613464355469,0
24,47075,-771.0,771,0.10555600000039789,0.005479938350617886,-35.45640182495117,1
25,47859,-784.0,784,0.09066000000039387,0.0009370095795020461,-35.327293395996094,1
26,48033,-174.0,174,0.08735400000039298,0.03753975033760071,-35.83702850341797,1
27,48298,-265.0,265,0.08231900000039162,0.09131812304258347,-35.61764144897461,1
28,48783,-485.0,485,0.07310400000038914,0.0009668124257586896,-35.99081039428711,1
29,49789,-1006.0,1006,0.05399000000038709,20.41391944885254,-36.35234832763672,1
30,50261,-472.0,472,0.05,0,0,1
31,51451,-1190.0,1190,0.05,0.005200027488172054,-37.288299560546875,1
32,52139,-688.0,688,0.05,0.01917021907866001,-38.04126739501953,1
33,52528,-389.0,389,0.05,21.447233200073242,-37.83351135253906,1
34,52847,-319.0,319,0.05,0.044422317296266556,-38.034915924072266,1
35,53088,-241.0,241,0.05,0.015753066167235374,-38.27216720581055,1
36,53341,-253.0,253,0.05,0.007733487989753485,-38.314697265625,1
37,53662,-321.0,321,0.05,0.02520391345024109,-38.28764724731445,1
38,54092,-430.0,430,0.05,0.01141087245196104,-38.93340301513672,1
39,54449,-357.0,357,0.05,0.03602395951747894,-38.943450927734375,1
40,54908,-459.0,459,0.05,0.34283706545829773,-38.39312744140625,1
41,55180,-272.0,272,0.05,0.012130377814173698,-39.46886444091797,1
42,55439,-259.0,259,0.05,0.009659620933234692,-39.166786193847656,1
43,55770,-331.0,331,0.05,0.03988046571612358,-39.07853698730469,1
44,56026,-256.0,256,0.05,0.03781898692250252,-39.41347885131836,1
45,56381,-355.0,355,0.05,0.0047267405316233635,-39.29859161376953,1
46,56808,-427.0,427,0.05,0.018536824733018875,-39.079925537109375,1
47,57175,-367.0,367,0.05,0.02029690146446228,-39.552467346191406,1
48,57510,-335.0,335,0.05,0.015220502391457558,-39.69791793823242,1
49,58066,-556.0,556,0.05,0.0726618617773056,-40.12575149536133,1
50,58659,-593.0,593,0.05,0.0160110741853714,-40.31538009643555,1
51,59178,-519.0,519,0.05,0.029928185045719147,-40.406036376953125,1
52,59744,-566.0,566,0.05,0.10410859435796738,-40.340087890625,1
53,60070,-326.0,326,0.05,0.08493243902921677,-40.881263732910156,1
54,60363,-293.0,293,0.05,0.012036208994686604,-41.4090690612793,1
55,60601,-238.0,238,0.05,0.006068260408937931,-41.07753372192383,1
56,60786,-185.0,185,0.05,0.00757537130266428,-40.939002990722656,1
57,61208,-422.0,422,0.05,0.06588722765445709,-41.462890625,1
58,61648,-440.0,440,0.05,0.0343782976269722,-41.28590393066406,1
59,62183,-535.0,535,0.05,7.999707221984863,-41.68634033203125,1
60,62499,-316.0,316,0.05,0.05324394255876541,-41.87052917480469,1
61,62710,-211.0,211,0.05,0.22588765621185303,-41.38799285888672,1
62,63331,-621.0,621,0.05,0.016564765945076942,-42.562835693359375,1
63,63710,-379.0,379,0.05,0.013669375330209732,-42.65644836425781,1
64,64189,-479.0,479,0.05,3.4944562911987305,-42.64904022216797,1
65,64467,-278.0,278,0.05,0.012074587866663933,-42.767608642578125,1
66,64649,-182.0,182,0.05,0.015222227200865746,-43.03931427001953,1
67,64856,-207.0,207,0.05,0.0891970545053482,-42.824188232421875,1
68,65187,-331.0,331,0.05,0.03271858021616936,-43.37065124511719,1
69,65548,-361.0,361,0.05,0.02079729363322258,-43.76079559326172,1
70,65823,-275.0,275,0.05,0.08282874524593353,-43.138084411621094,1
71,66058,-235.0,235,0.05,0.06957278400659561,-43.31367111206055,1
72,66247,-189.0,189,0.05,0.09355597198009491,-43.44225311279297,1
73,66442,-195.0,195,0.05,0.016698136925697327,-43.6881103515625,1
74,66883,-441.0,441,0.05,0.013141516596078873,-43.65667724609375,1
