episode,timestep,return,length,epsilon,loss,mean_q,success
0,1999,-2000.0,2000,0.9620000000000175,3.799298428930342e-05,-0.2914496660232544,0
1,3999,-2000.0,2000,0.924000000000035,4.307828930905089e-05,-2.2393784523010254,0
2,5999,-2000.0,2000,0.8860000000000525,4.235579399392009e-05,-4.161060810089111,0
3,7999,-2000.0,2000,0.84800000000007,0.0005533520597964525,-6.048194408416748,0
4,9999,-2000.0,2000,0.8100000000000875,0.002724603284150362,-7.933768272399902,0
5,11999,-2000.0,2000,0.772000000000105,0.0010494389571249485,-9.633830070495605,0
6,13999,-2000.0,2000,0.7340000000001226,0.001764085958711803,-11.478589057922363,0
7,15999,-2000.0,2000,0.6960000000001401,0.0005713533610105515,-12.997556686401367,0
8,17999,-2000.0,2000,0.6580000000001576,0.002815910615026951,-14.599588394165039,0
9,19999,-2000.0,2000,0.6200000000001751,0.0003863277961499989,-16.223974227905273,0
10,21999,-2000.0,2000,0.5820000000001926,0.003399939276278019,-17.843263626098633,0
11,23999,-2000.0,2000,0.5440000000002101,0.04736874997615814,-19.31777572631836,0
12,25008,-1009.0,1009,0.5248290000002189,0.07400091737508774,-21.295930862426758,1
13,25583,-575.0,575,0.513904000000224,0.0013314075767993927,-21.032684326171875,1
14,27577,-1994.0,1994,0.4760180000002414,0.0006951122777536511,-22.44166374206543,1
15,28940,-1363.0,1363,0.45012100000025335,0.06535492837429047,-22.948957443237305,1
16,29687,-747.0,747,0.4359280000002599,0.0015536030987277627,-23.877700805664062,1
17,30807,-1120.0,1120,0.4146480000002697,0.03978100046515465,-24.384429931640625,1
18,31976,-1169.0,1169,0.3924370000002799,0.0018582574557512999,-25.14557647705078,1
19,33705,-1729.0,1729,0.35958600000029506,0.0011171632213518023,-26.49950408935547,1
20,33969,-264.0,264,0.35457000000029737,0.006481293588876724,-26.542728424072266,1
21,34515,-546.0,546,0.34419600000030215,0.028609633445739746,-27.035768508911133,1
22,34763,-248.0,248,0.3394840000003043,0.02655854821205139,-26.976375579833984,1
23,35165,-402.0,402,0.33184600000030784,0.0768192782998085,-27.28057098388672,1
24,35722,-557.0,557,0.3212630000003127,0.01596832275390625,-27.373828887939453,1
25,36259,-537.0,537,0.3110600000003174,0.42032909393310547,-27.580799102783203,1
26,36845,-586.0,586,0.29992600000032255,0.027915000915527344,-28.15064811706543,1
27,37115,-270.0,270,0.2947960000003249,0.006349604576826096,-28.65113067626953,1
28,37449,-334.0,334,0.28845000000032783,0.07630626857280731,-28.46323013305664,1
29,38000,-551.0,551,0.27798100000033266,0.060449130833148956,-28.724821090698242,1
30,38359,-359.0,359,0.2711600000003358,0.002013840014114976,-29.303089141845703,1
31,38619,-260.0,260,0.2662200000003381,0.05242308974266052,-29.412668228149414,1
32,39430,-811.0,811,0.2508110000003452,0.03145451843738556,-30.111835479736328,1
33,39749,-319.0,319,0.24475000000034797,0.025754723697900772,-30.173133850097656,1
34,40186,-437.0,437,0.2364470000003518,0.05958712846040726,-30.606468200683594,1
35,40534,-348.0,348,0.22983500000035484,0.032754212617874146,-30.838401794433594,1
36,40706,-172.0,172,0.22656700000035634,0.007894285023212433,-30.64337158203125,1
37,40867,-161.0,161,0.22350800000035775,0.007652077823877335,-30.6141357421875,1
38,41129,-262.0,262,0.21853000000036005,0.06970586627721786,-31.17723846435547,1
39,41620,-491.0,491,0.20920100000036435,0.05389384180307388,-31.185131072998047,1
40,41851,-231.0,231,0.20481200000036637,0.00834602303802967,-31.3314266204834,1
41,42006,-155.0,155,0.20186700000036772,0.16296416521072388,-32.37467956542969,1
42,42199,-193.0,193,0.19820000000036941,0.006329639349132776,-31.96743392944336,1
43,42386,-187.0,187,0.19464700000037105,0.010636473074555397,-31.68098258972168,1
44,42883,-497.0,497,0.1852040000003754,0.02904014103114605,-31.63023567199707,1
45,43183,-300.0,300,0.17950400000037803,0.16566386818885803,-31.930286407470703,1
46,43867,-684.0,684,0.16650800000038402,0.01987738534808159,-32.263267517089844,1
47,44213,-346.0,346,0.15993400000038704,0.04998781532049179,-32.38706970214844,1
48,44436,-223.0,223,0.155697000000389,0.012755388393998146,-32.1427116394043,1
49,44722,-286.0,286,0.1502630000003915,0.009301858954131603,-32.81426239013672,1
50,45249,-527.0,527,0.1402500000003961,0.027310863137245178,-33.64985656738281,1
51,45431,-182.0,182,0.1367920000003977,0.008839158341288567,-33.50614547729492,1
